,drug_id,identifier
11636,19835,OT-730
11637,19835,QLT-091568
11638,19840,pGX-3002
11639,19840,pGX3002
11640,19840,VGX-3100
11641,19845,BMS 707035
11642,19845,BMS-707035
11643,19850,MEDI-2070
11644,19855,AYX-1
11645,19855,AYX1
11646,19865,BAY 68-4986
11647,19865,BAY-68-4986
11648,19885,PMZ-2010
11649,19895,CS-2164
11650,19895,CS2164
11651,19900,CPI-444
11652,19900,V-81444
11653,19900,V81444
11654,19905,BAY 58-2667
11655,19905,BAY-58-2667
11656,19910,BIIB-054
11657,19910,BIIB054
11658,19910,NI-202
11659,19915,RG-6107
11660,19915,RG6107
11661,19915,RO-7112689
11662,19915,RO7112689
11663,19915,SKY-59
11664,19915,SKY59
11665,19920,TZP-102
11666,19925,OLT-1177
11667,19925,OLT1177
11668,19930,CDP-7657
11669,19935,GT-56-252
11670,19935,GT56-252
11671,19940,JTE-052
11672,19940,JTE-052A
11673,19940,LEO-124249
11674,19940,LEO-124249A
11675,19950,BCP29692
11676,19950,ZYAN1
11677,19955,TNX-200
11678,19960,INCB-040093
11679,19960,INCB040093
11680,19970,DAR-0100A
11681,19975,ABT 165
11682,19975,ABT-165
11683,19975,PR-1283233
11684,19980,CDB-4521
11685,19980,DMAU
11686,19985,NSC-328786
11687,19990,PTI-808
11688,19995,BIM-23A760
11689,19995,TBR-760
11690,20000,FYU-981
11691,20005,DYN-A17
11692,20010,OBE-022
11693,20010,OBE022
11694,20015,AS-013
11695,20020,AMG 592
11696,20020,AMG-592
11697,20025,EFTI
11698,20025,IMP321
11699,20030,MYC-123
11700,20030,MYC-123A
11701,20030,MYC-123B
11702,20030,MYC-124
11703,20030,MYC123
