drug_id,region,max_phase,marketed_prescription,marketed_prescription_started_on,marketed_prescription_ended_on,generic_available,generic_available_on,mixture_available,mixture_available_on,marketed_otc,marketed_otc_started_on,marketed_otc_ended_on,marketed_unapproved,marketed_unapproved_started_on,marketed_unapproved_ended_on,pre_market_cancelled,pre_market_cancelled_on,post_market_cancelled,post_market_cancelled_on
47,eu,4,1,07-Sep-2016,,0,,1,,0,,,0,,,0,,0,
47,th,4,0,,,0,,1,,0,,,0,,,0,,0,
47,us,4,1,04-Jun-2002,,0,,1,,0,,,0,,,0,,0,
48,ca,4,1,31-Dec-1994,,0,,0,,0,,,0,,,0,,0,
48,eu,4,1,08-Sep-2016,02-Mar-2020,0,,0,,0,,,0,,,1,,0,
48,th,4,0,,,0,,0,,0,,,0,,,0,,0,
48,us,4,1,18-Oct-2006,,0,,1,,1,18-Mar-2010,,1,18-Mar-2010,,0,,0,
49,ca,4,1,21-Sep-2004,,0,,0,,0,,,0,,,0,,0,
49,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
49,th,0,0,,,0,,0,,0,,,0,,,0,,0,
49,us,4,1,12-Jul-2002,,0,,0,,0,,,0,,,0,,0,
50,ca,4,1,25-Feb-2004,,0,,0,,0,,,0,,,0,,0,
50,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
50,th,4,0,,,0,,0,,0,,,0,,,0,,0,
50,us,4,1,11-Aug-2000,,0,,0,,0,,,0,,,0,,0,
51,ca,4,1,24-Sep-2004,,0,,0,,0,,,0,,,0,,0,
51,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
51,th,4,0,,,0,,0,,0,,,0,,,0,,0,
51,us,4,1,30-Dec-2002,,0,,1,,0,,,0,,,0,,0,
52,ca,4,1,31-Dec-1987,,0,,1,,0,,,0,,,0,,0,
52,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
52,th,4,0,,,0,,0,,0,,,0,,,0,,0,
52,us,4,1,01-Apr-1987,,0,,0,,0,,,0,,,0,,0,
53,ca,4,1,01-May-1997,,0,,0,,0,,,0,,,0,,0,
53,eu,4,1,16-Dec-2020,,0,,0,,0,,,0,,,0,,0,
53,th,4,0,,,0,,0,,0,,,0,,,0,,0,
53,us,4,1,23-May-1994,,0,,0,,0,,,0,,,0,,0,
54,ca,4,1,30-Oct-1996,14-Jun-2018,0,,0,,0,,,0,,,0,,1,14-Jun-2018
54,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
54,th,4,0,,,0,,0,,0,,,0,,,0,,0,
54,us,4,1,16-Dec-1993,30-Sep-2019,0,,0,,0,,,0,,,0,,1,30-Sep-2019
55,ca,4,1,20-Feb-2003,14-Nov-2011,0,,0,,0,,,0,,,0,,1,14-Nov-2011
55,eu,4,1,08-Sep-2016,21-Feb-2012,0,,0,,0,,,0,,,1,,0,
55,th,0,0,,,0,,0,,0,,,0,,,0,,0,
55,us,4,1,24-Nov-2001,26-Oct-2011,0,,0,,0,,,0,,,0,,1,26-Oct-2011
56,ca,4,1,11-Mar-2020,,0,,0,,0,,,0,,,0,,0,
56,eu,4,1,22-Dec-2020,,0,,0,,0,,,0,,,0,,0,
56,th,0,0,,,0,,0,,0,,,0,,,0,,0,
56,us,4,1,07-Sep-2017,,0,,0,,0,,,0,,,0,,0,
57,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
57,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
57,th,0,0,,,0,,0,,0,,,0,,,0,,0,
57,us,0,0,,,0,,0,,0,,,0,,,0,,0,
58,ca,4,1,31-Dec-1988,,0,,0,,0,,,0,,,0,,0,
58,eu,4,1,06-Oct-2016,,0,,0,,0,,,0,,,0,,0,
58,th,0,0,,,0,,0,,0,,,0,,,0,,0,
58,us,4,1,02-Dec-1987,,0,,0,,0,,,0,,,0,,0,
59,ca,4,1,13-Oct-1998,,0,,0,,0,,,0,,,0,,0,
59,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
59,th,0,0,,,0,,0,,0,,,0,,,0,,0,
59,us,4,1,01-Feb-1994,,0,,0,,0,,,0,,,0,,0,
60,ca,4,1,23-Feb-1998,,0,,1,,0,,,0,,,0,,0,
60,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
60,th,4,0,,,0,,0,,0,,,0,,,0,,0,
60,us,4,1,17-May-1996,,0,,1,,0,,,0,,,0,,0,
61,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
61,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
