drug_id,country,number,approved_on,expires_on,ped_extension
1307,United States,9265893,23-Feb-2016,23-Mar-2033,1
1307,United States,6004297,21-Dec-1999,28-Jul-2019,1
1307,United States,RE43834,27-Nov-2012,28-Jan-2019,0
1307,United States,5750497,12-May-1998,16-Jun-2019,0
1307,United States,9486588,08-Nov-2016,02-Jul-2022,1
1307,United States,9457154,04-Oct-2016,27-Mar-2028,1
1307,United States,RE46363,11-Apr-2017,03-Feb-2027,1
1307,United States,9687611,27-Jun-2017,27-Aug-2027,1
1307,United States,9775953,03-Oct-2017,17-Jan-2027,1
1307,United States,9861757,09-Jan-2018,20-Jul-2026,1
1307,United States,9616180,11-Apr-2017,20-Jul-2026,1
1307,United States,8579869,12-Nov-2013,30-Dec-2023,1
1307,United States,7762994,27-Jul-2010,23-Nov-2024,1
1307,United States,10220155,05-Mar-2019,17-Jan-2027,1
1307,United States,10357616,23-Jul-2019,20-Jan-2026,0
1307,United States,10376652,13-Aug-2019,20-Jan-2026,0
1309,United States,9011391,21-Apr-2015,26-Mar-2024,0
1309,United States,9233211,12-Jan-2016,02-Mar-2024,0
1309,United States,8603044,10-Dec-2013,02-Mar-2024,0
1309,United States,8512297,20-Aug-2013,15-Sep-2024,0
1309,United States,8679069,25-Mar-2014,12-Apr-2025,0
1309,United States,8992486,31-Mar-2015,05-Jun-2024,0
1309,United States,8556864,15-Oct-2013,03-Mar-2024,0
1309,United States,7918833,05-Apr-2011,23-Mar-2028,1
1309,United States,6221633,24-Apr-2001,18-Jun-2018,0
1309,United States,6960561,01-Nov-2005,25-Jan-2023,0
1309,United States,7696162,13-Apr-2010,22-Mar-2022,0
1309,United States,7452860,18-Nov-2008,22-Mar-2022,0
1309,United States,9561331,07-Feb-2017,28-Aug-2024,0
1309,United States,9623189,18-Apr-2017,19-Aug-2024,0
1309,United States,9610409,04-Apr-2017,02-Mar-2024,0
1309,United States,9526844,27-Dec-2016,02-Mar-2024,0
1309,United States,9604008,28-Mar-2017,02-Mar-2024,0
1309,United States,9533105,03-Jan-2017,17-Aug-2024,0
1309,United States,9408979,09-Aug-2016,02-Mar-2024,0
1309,United States,9775954,03-Oct-2017,02-Mar-2024,0
1309,United States,9604009,28-Mar-2017,16-Aug-2024,0
1309,United States,9827379,28-Nov-2017,02-Mar-2024,0
1309,United States,9717852,01-Aug-2017,08-Apr-2033,0
1319,Canada,2231700,09-Aug-2005,10-Mar-2018,0
1319,Canada,2224738,27-Aug-2002,28-Jun-2016,0
1319,United States,6436989,20-Aug-2002,24-Jun-2018,1
1319,United States,6514953,04-Feb-2003,15-Jan-2020,1
